timestamp,language,filename_hash,lines_of_code,cyclomatic_complexity,num_functions,num_classes,comment_density,code_churn,developer_experience_years,num_developers,commit_frequency,bug_fix_commits,past_defects,test_coverage,duplication_percentage,avg_function_length,depth_of_inheritance,response_for_class,coupling_between_objects,lack_of_cohesion,build_failures,static_analysis_warnings,security_vulnerabilities,performance_issues,rf_prediction,svm_prediction,risk_score
2026-05-20 02:57:17,Java,ee9929337182,248,24,13,1,0.0432,0,0,1,0,0,0,0.0,0.2222,23,7,42,29,0.23,0,0,0,0,1,1,94.2
2026-05-20 02:57:17,Java,77006b877556,251,51,19,1,0.0868,0,0,1,0,0,0,0.0,0.2429,17,10,32,13,0.17,0,9,0,1,1,1,93.9
2026-05-20 02:57:17,Java,cec4bf769044,329,73,26,1,0.1187,0,0,1,0,0,0,0.0,0.288,16,1,41,15,0.16,0,15,0,0,1,1,93.8
2026-05-20 02:57:17,Java,c27023f90f91,453,52,31,1,0.0444,0,0,1,0,0,0,0.0,0.3067,17,10,66,35,0.17,0,0,0,0,1,1,93.8
2026-05-20 02:57:17,Java,4be8707a0c24,322,39,23,1,0.0926,0,0,1,0,0,0,0.0,0.275,18,3,41,18,0.18,0,0,0,0,1,0,92.4
2026-05-20 02:57:17,Java,16117a190de1,220,18,12,1,0.0283,0,0,1,0,0,0,0.0,0.2311,20,5,41,29,0.2,0,0,0,0,1,0,84.9
2026-05-20 02:57:17,Java,087f53887e22,74,2,34,1,0.0312,0,0,1,0,0,0,0.0,0.013,2,0,35,1,0.02,0,0,0,0,0,0,2.9
2026-05-20 02:57:17,Java,dd6d879d50d6,134,14,9,5,0.113,0,0,1,0,0,0,0.0,0.183,19,6,21,12,0.19,0,0,0,0,0,0,2.9
2026-05-20 02:57:17,Java,54713e1587a5,266,27,11,1,0.0374,0,0,1,0,0,0,0.0,0.3091,26,6,38,27,0.26,0,0,0,0,0,0,2.9
2026-05-20 02:57:17,Java,d84e6284f11f,290,30,11,1,0.0885,0,0,1,0,0,0,0.0,0.2253,34,10,30,19,0.34,0,7,0,0,0,0,2.9
2026-05-20 02:57:17,Java,40b241027210,94,8,8,1,0.1157,0,0,1,0,0,0,0.0,0.2692,15,2,18,10,0.15,0,0,0,2,0,0,2.9
2026-05-20 02:57:17,Java,06d60d95e154,9,1,1,1,0.0588,0,0,1,0,0,0,0.5882,0.0714,17,0,3,2,0.17,0,0,0,0,0,0,2.9
